Time,time
1596,42871
1597,42872
1598,42873
1599,42874
1600,42875
1601,42876
1602,42877
1603,42878
1604,42879
1605,42880
1606,42881
1607,42882
1608,42883
1609,42884
1610,42885
1611,42886
1612,42887
1613,42888
1614,42889
1615,42890
1616,42891
1617,42892
1618,42893
1619,42894
1620,42895
1621,42896
1622,42897
1623,42898
1624,42899
1625,42900
1626,42901
1627,42902
1628,42903
1629,42904
1630,42905
1631,42906
1632,42907
1633,42908
1634,42909
1635,42910
1636,42911
1637,42912
1638,42913
1639,42914
1640,42915
1641,42916
1642,42917
1643,42918
1644,42919
1645,42920
1646,42921
1647,42922
1648,42923
1649,42924
1650,42925
1651,42926
1652,42927
1653,42928
1654,42929
1655,42930
1656,42931
1657,42932
1658,42933
1659,42934
1660,42935
1661,42936
1662,42937
1663,42938
1664,42939
1665,42940
1666,42941
1667,42942
1668,42943
1669,42944
1670,42945
1671,42946
1672,42947
1673,42948
1674,42949
1675,42950
1676,42951
1677,42952
1678,42953
1679,42954
1680,42955
1681,42956
1682,42957
1683,42958
1684,42959
1685,42960
1686,42961
1687,42962
1688,42963
1689,42964
1690,42965
1691,42966
1692,42967
1693,42968
1694,42969
1695,42970
1696,42971
1697,42972
1698,42973
1699,42974
1700,42975
1701,42976
1702,42977
1703,42978
1704,42979
1705,42980
1706,42981
1707,42982
1708,42983
1709,42984
1710,42985
1711,42986
1712,42987
1713,42988
1714,42989
1715,42990
1716,42991
1717,42992
1718,42993
1719,42994
1720,42995
1721,42996
1722,42997
1723,42998
1724,42999
1725,43000
1726,43001
1727,43002
1728,43003
1729,43004
1730,43005
1731,43006
1732,43007
1733,43008
1734,43009
1735,43010
1736,43011
1737,43012
1738,43013
1739,43014
1740,43015
1741,43016
1742,43017
1743,43018
1744,43019
1745,43020
1746,43021
1747,43022
1748,43023
1749,43024
1750,43025
1751,43026
1752,43027
1753,43028
1754,43029
1755,43030
1756,43031
1757,43032
1758,43033
1759,43034
1760,43035
1761,43036
1762,43037
1763,43038
1764,43039
1765,43040
1766,43041
1767,43042
1768,43043
1769,43044
1770,43045
1771,43046
1772,43047
1773,43048
1774,43049
1775,43050
1776,43051
1777,43052
1778,43053
1779,43054
1780,43055
1781,43056
1782,43057
1783,43058
1784,43059
1785,43060
1786,43061
1787,43062
1788,43063
1789,43064
1790,43065
1791,43066
1792,43067
1793,43068
1794,43069
1795,43070
1796,43071
1797,43072
1798,43073
1799,43074
1800,43075
1801,43076
1802,43077
1803,43078
1804,43079
1805,43080
1806,43081
1807,43082
1808,43083
1809,43084
1810,43085
1811,43086
1812,43087
1813,43088
1814,43089
1815,43090
1816,43091
1817,43092
1818,43093
1819,43094
1820,43095
1821,43096
1822,43097
1823,43098
1824,43099
1825,43100
1826,43101
1827,43102
1828,43103
1829,43104
1830,43105
1831,43106
1832,43107
1833,43108
1834,43109
1835,43110
1836,43111
1837,43112
1838,43113
1839,43114
1840,43115
1841,43116
1842,43117
1843,43118
1844,43119
1845,43120
1846,43121
1847,43122
1848,43123
1849,43124
1850,43125
1851,43126
1852,43127
1853,43128
1854,43129
1855,43130
1856,43131
1857,43132
1858,43133
1859,43134
1860,43135
1861,43136
1862,43137
1863,43138
1864,43139
1865,43140
1866,43141
1867,43142
1868,43143
1869,43144
1870,43145
1871,43146
1872,43147
1873,43148
1874,43149
1875,43150
1876,43151
1877,43152
1878,43153
1879,43154
1880,43155
1881,43156
1882,43157
1883,43158
1884,43159
1885,43160
1886,43161
1887,43162
1888,43163
1889,43164
1890,43165
1891,43166
1892,43167
1893,43168
1894,43169
1895,43170
1896,43171
1897,43172
1898,43173
1899,43174
1900,43175
1901,43176
1902,43177
1903,43178
1904,43179
1905,43180
1906,43181
1907,43182
1908,43183
1909,43184
1910,43185
1911,43186
1912,43187
1913,43188
1914,43189
1915,43190
1916,43191
1917,43192
1918,43193
1919,43194
1920,43195
1921,43196
1922,43197
1923,43198
1924,43199
1925,43200
1926,43201
1927,43202
1928,43203
1929,43204
1930,43205
1931,43206
1932,43207
1933,43208
1934,43209
1935,43210
1936,43211
1937,43212
